#Parameters = {Lh=0.033016666666667; Oa=0.049839326046652; Oo=0.0041966915170919; a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
45354380.937973	-59.613952993293
45423099.696970	-59.625194508086
45492027.010622	-59.636446355134
45561163.829787	-59.647708508456
45630511.111111	-59.658980938463
45700069.817073	-59.670263611906
45769840.916031	-59.681556491819
45839825.382263	-59.692859537460
45910024.196018	-59.704172704249
45980438.343558	-59.715495943714
46051068.817204	-59.726829203422
46121916.615385	-59.738172426920
46192982.742681	-59.749525553670
46264268.209877	-59.760888518983
46335774.034003	-59.772261253947
46407501.238390	-59.783643685364
46479450.852713	-59.795035735673
46551623.913043	-59.806437322881
46624021.461897	-59.817848360484
46696644.548287	-59.829268757391
46769494.227769	-59.840698417844
46842571.562500	-59.852137241338
46915877.621283	-59.863585122530
46989413.479624	-59.875041951159
47063180.219780	-59.886507611951
47137178.930818	-59.897981984525
47211410.708661	-59.909464943300
47285876.656151	-59.920956357392
47360577.883096	-59.932456090511
47435515.506329	-59.943964000855
47510690.649762	-59.955479940997
47586104.444444	-59.967003757769
47661758.028617	-59.978535292146
47737652.547771	-59.990074379115
47813789.154705	-60.001620847548
47890169.009585	-60.013174520071
47966793.280000	-60.024735212916
48043663.141026	-60.036302735778
48120779.775281	-60.047876891665
48198144.372990	-60.059457476732
48275758.132045	-60.071044280120
48353622.258065	-60.082637083780
48431737.964459	-60.094235662290
48510106.472492	-60.105839782668
48588729.011345	-60.117449204171
48667606.818182	-60.129063678084
48746741.138211	-60.140682947509
48826133.224756	-60.152306747130
48905784.339315	-60.163934802976
48985695.751634	-60.175566832169
49065868.739771	-60.187202542661
49146304.590164	-60.198841632956
49227004.597701	-60.210483791817
49307970.065789	-60.222128697965
49389202.306425	-60.233776019752
49470702.640264	-60.245425414828
49552472.396694	-60.257076529776
49634512.913907	-60.268728999749
49716825.538972	-60.280382448064
49799411.627907	-60.292036485790
49882272.545757	-60.303690711311
49965409.666667	-60.315344709858
50048824.373957	-60.326998053025
50132518.060201	-60.338650298251
50216492.127303	-60.350300988272
50300747.986577	-60.361949650553
50385287.058824	-60.373595796671
50470110.774411	-60.385238921677
50555220.573356	-60.396878503413
50640617.905405	-60.408514001792
50726304.230118	-60.420144858037
50812281.016949	-60.431770493868
50898549.745331	-60.443390310651
50985111.904762	-60.455003688487
51071968.994889	-60.466609985252
51159122.525597	-60.478208535573
51246574.017094	-60.489798649743
51334325.000000	-60.501379612574
51422377.015437	-60.512950682168
51510731.615120	-60.524511088623
51599390.361446	-60.536060032643
51688354.827586	-60.547596684075
51777626.597582	-60.559120180336
51867207.266436	-60.570629624753
51957098.440208	-60.582124084783
52047301.736111	-60.593602590122
52137818.782609	-60.605064130689
52228651.219512	-60.616507654472
52319800.698080	-60.627932065228
52411268.881119	-60.639336220037
52503057.443082	-60.650718926677
52595168.070175	-60.662078940824
52687602.460457	-60.673414963059
52780362.323944	-60.684725635663
52873449.382716	-60.696009539184
52966865.371025	-60.707265188772
53060612.035398	-60.718491030236
53154691.134752	-60.729685435828
53249104.440497	-60.740846699716
53343853.736655	-60.751973033128
53438940.819964	-60.763062559136
53534367.500000	-60.774113307055
53630135.599284	-60.785123206413
53726246.953405	-60.796090080482
53822703.411131	-60.807011639301
53919506.834532	-60.817885472171
54016659.099099	-60.828709039571
54114162.093863	-60.839479664439
54212017.721519	-60.850194522772
54310227.898551	-60.860850633484
54408794.555354	-60.871444847449
54507719.636364	-60.881973835673
54607005.100182	-60.892434076499
54706652.919708	-60.902821841777
54806665.082267	-60.913133181893
54907043.589744	-60.923363909564
55007790.458716	-60.933509582282
55108907.720588	-60.943565483283
55210397.421731	-60.953526600916
55312261.623616	-60.963387606254
55414502.402957	-60.973142828797
55517121.851852	-60.982786230081
55620122.077922	-60.992311375011
55723505.204461	-61.001711400703
55827273.370577	-61.010978982606
55931428.731343	-61.020106297657
56035973.457944	-61.029084984193
56140909.737828	-61.037906098332
56246239.774859	-61.046560066496
56351965.789474	-61.055036633735
56458090.018832	-61.063324807475
56564614.716981	-61.071412796296
56671542.155009	-61.079287943299
56778874.621212	-61.086936653634
56886614.421252	-61.094344315675
56994763.878327	-61.101495215385
57103325.333333	-61.108372443317
57212301.145038	-61.114957793772
57321693.690249	-61.121231655564
57431505.363985	-61.127172893934
57541738.579654	-61.132758723149
57652395.769231	-61.137964569426
57763479.383430	-61.142763923944
57874991.891892	-61.147128185842
57986935.783366	-61.151026495412
58099313.565891	-61.154425557950
58212127.766990	-61.157289459265
58325380.933852	-61.159579474387
58439075.633528	-61.161253871861
58553214.453125	-61.162267717053
58667800.000000	-61.162572679236
58782834.901961	-61.162116849012
58898321.807466	-61.160844574828
59014263.385827	-61.158696330194
59130662.327416	-61.155608626770
59247521.343874	-61.151513992906
59364843.168317	-61.146341042740
59482630.555556	-61.140014667566
59600886.282306	-61.132456389305
59719613.147410	-61.123584925373
59838813.972056	-61.113317025327
59958491.600000	-61.101568652083
60078648.897796	-61.088256594060
60199288.755020	-61.073300608343
60320414.084507	-61.056626207910
60442027.822581	-61.038168215618
60564132.929293	-61.017875211212
60686732.388664	-60.995714990317
60809829.208925	-60.971681130087
60933426.422764	-60.945800707202
61057527.087576	-60.918143130765
61182134.285714	-60.888829925877
61307251.124744	-60.858045124792
61432880.737705	-60.826045688170
61559026.283368	-60.793171095186
61685690.946502	-60.759850929825
61812877.938144	-60.726608995750
61940590.495868	-60.694062283623
62068831.884058	-60.662913086632
62197605.394191	-60.633932817086
62326914.345114	-60.607936707392
62456762.083333	-60.585749613713
62587151.983299	-60.568164509578
62718087.447699	-60.555896759908
62849571.907757	-60.549538582883
